Input,Target,No.,Expression
"Patient presents with a history of colon and other cancers, warranting close monitoring and follow-up appointments. Further evaluation required to assess the extent of malignancy and determine appropriate treatment options. Referral to oncology department recommended for comprehensive management plan.","Patient presents with a history of colon cancers and other cancers, warranting close monitoring and follow-up appointments. Further evaluation required to assess the extent of malignancy and determine appropriate treatment options. Referral to oncology department recommended for comprehensive management plan.",1,colon and other cancers
"The patient exhibits contractures of elbows, Achilles tendons, and spine. These contractures result in restricted range of motion and may contribute to functional impairment and discomfort. Rehabilitation therapies such as stretching exercises and physical therapy may be beneficial in managing contractures and improving mobility. ","The patient exhibits contractures of elbows, contractures of achilles tendons, contractures of spine. These contractures result in restricted range of motion and may contribute to functional impairment and discomfort. Rehabilitation therapies such as stretching exercises and physical therapy may be beneficial in managing contractures and improving mobility. ",1,"contractures of elbows, Achilles tendons, and spine"
"Following an extensive evaluation and treatment, the patient is being discharged with a diagnosis of Becker and Duchenne muscular dystrophy. This condition presents challenges related to muscle weakness and progressive loss of muscle function. The patient and their family have been educated about the nature of the condition and the importance of ongoing monitoring and management. A comprehensive care plan has been established to address the patient's needs, including physical therapy, assistive devices, and regular follow-up appointments with a multidisciplinary team of specialists. The patient will continue to receive support and guidance to optimize their functional abilities and overall well-being.","Following an extensive evaluation and treatment, the patient is being discharged with a diagnosis of Becker muscular dystrophy, Duchenne muscular dystrophy. This condition presents challenges related to muscle weakness and progressive loss of muscle function. The patient and their family have been educated about the nature of the condition and the importance of ongoing monitoring and management. A comprehensive care plan has been established to address the patient's needs, including physical therapy, assistive devices, and regular follow-up appointments with a multidisciplinary team of specialists. The patient will continue to receive support and guidance to optimize their functional abilities and overall well-being.",1,Becker and Duchenne muscular dystrophy
"During the patient's medical examination, the cardiologist noted concerning signs of vasculopathy of heart and brain. This condition, characterized by pathological changes in the blood vessels supplying these vital organs, poses significant risks to cardiovascular and neurological health. Further diagnostic tests and treatment strategies were discussed to address the underlying vasculopathy and mitigate potential complications.","During the patient's medical examination, the cardiologist noted concerning signs of vasculopathy of heart, vasculopathy of brain. This condition, characterized by pathological changes in the blood vessels supplying these vital organs, poses significant risks to cardiovascular and neurological health. Further diagnostic tests and treatment strategies were discussed to address the underlying vasculopathy and mitigate potential complications.",1,vasculopathy of heart and brain
 it was discovered that the patient's maternal lineage had a strong predisposition to inherited breast and ovarian cancer. This genetic susceptibility raised concerns about the patient's own risk profile for these malignancies. Genetic counseling and testing were recommended to further evaluate the hereditary component and devise personalized screening and preventive measures.," it was discovered that the patient's maternal lineage had a strong predisposition to inherited breast cancer, inherited ovarian cancer. This genetic susceptibility raised concerns about the patient's own risk profile for these malignancies. Genetic counseling and testing were recommended to further evaluate the hereditary component and devise personalized screening and preventive measures.",1,breast and ovarian cancer
"The patient's clinical evaluation revealed symptoms consistent with muscular dystrophy, prompting further investigation into the specific subtype. Family history analysis revealed a pattern of Duchenne and the milder Becker muscular dystrophies, indicating a genetic predisposition within the family. Given the variability in clinical presentation and severity between these two forms of muscular dystrophy, a comprehensive diagnostic workup was initiated to confirm the diagnosis and develop an appropriate management plan tailored to the patient's individual needs","The patient's clinical evaluation revealed symptoms consistent with muscular dystrophy, prompting further investigation into the specific subtype. Family history analysis revealed a pattern of Duchenne muscular dystrophies, milder Becker muscular dystrophies, indicating a genetic predisposition within the family. Given the variability in clinical presentation and severity between these two forms of muscular dystrophy, a comprehensive diagnostic workup was initiated to confirm the diagnosis and develop an appropriate management plan tailored to the patient's individual needs",1,Duchenne and the milder Becker muscular dystrophies
"During the patient's routine screening mammography, suspicious findings were noted, prompting further investigation. Subsequent biopsy results confirmed the presence of breast and squamous cell neoplasms, indicating the coexistence of two distinct types of cancerous growths within the breast tissue. The multidisciplinary team convened to discuss the implications of this dual pathology and formulate an individualized treatment approach aimed at addressing both malignancies while optimizing the patient's overall prognosis and quality of life.","During the patient's routine screening mammography, suspicious findings were noted, prompting further investigation. Subsequent biopsy results confirmed the presence of breast neoplasms, squamous cell neoplasms, indicating the coexistence of two distinct types of cancerous growths within the breast tissue. The multidisciplinary team convened to discuss the implications of this dual pathology and formulate an individualized treatment approach aimed at addressing both malignancies while optimizing the patient's overall prognosis and quality of life.",1,breast and squamous cell neoplasms
"In the context of genetic analysis, the patient's presentation revealed indications of a partial or complete deficiency of Hmgic, a critical gene associated with various developmental abnormalities and neoplastic processes. Further molecular investigation and consultation with genetic specialists are warranted to elucidate the implications of this genetic anomaly and its potential contribution to the patient's clinical manifestations. ","In the context of genetic analysis, the patient's presentation revealed indications of a partial deficiency of Hmgic, complete deficiency of Hmgic, a critical gene associated with various developmental abnormalities and neoplastic processes. Further molecular investigation and consultation with genetic specialists are warranted to elucidate the implications of this genetic anomaly and its potential contribution to the patient's clinical manifestations. ",1,partial or complete deficiency of Hmgic
"In a histopathological examination of tissue samples obtained from the patient, the presence of fibroepithelial or epithelial hyperplasias was noted. These findings suggest abnormal cellular proliferation within the fibrous and epithelial components of the tissue.","In a histopathological examination of tissue samples obtained from the patient, the presence of fibroepithelial hyperplasias, epithelial hyperplasias was noted. These findings suggest abnormal cellular proliferation within the fibrous and epithelial components of the tissue.",1,fibroepithelial or epithelial hyperplasias
"The clinical evaluation revealed the presence of craniofacial and central nervous system defects, and no eyes, indicating a complex medical condition. The craniofacial anomalies encompassed irregularities in facial bone structure and skull development, while the central nervous system defects involved abnormalities in brain morphology or function. ","The clinical evaluation revealed the presence of craniofacial defects, central nervous system defects, and no eyes, indicating a complex medical condition. The craniofacial anomalies encompassed irregularities in facial bone structure and irregularities in skull development, while the central nervous system defects involved abnormalities in brain morphology or function. ",2,"craniofacial and central nervous system defects; 
irregularities in facial bone structure and skull development"
"During the ophthalmic examination, the patient presented with cortical and total cataracts, indicative of significant opacities in the lenses of both eyes. These findings suggest a progressive deterioration of lens transparency, likely contributing to visual impairment and necessitating further evaluation for appropriate management, such as surgical intervention to restore visual acuity.","During the ophthalmic examination, the patient presented with cortical cataracts, total cataracts, indicative of significant opacities in the lenses of both eyes. These findings suggest a progressive deterioration of lens transparency, likely contributing to visual impairment and necessitating further evaluation for appropriate management, such as surgical intervention to restore visual acuity.",1,cortical and total cataracts
"During the physical examination, the patient exhibited contractures affecting various muscle groups, notably presenting with contractures of the elbows, achilles tendons, and postcervical muscles. These contractures were characterized by abnormal shortening and tightening of the muscles, resulting in restricted range of motion and potential functional impairment. Such contractures can significantly impact mobility and activities of daily living, necessitating comprehensive assessment and management strategies to address the underlying causes and alleviate associated symptoms.","During the physical examination, the patient exhibited contractures affecting various muscle groups, notably presenting with contractures of elbows,contractures of achilles tendons, contractures of postcervical muscles. These contractures were characterized by abnormal shortening of the muscles and abnormal tightening of the muscles, resulting in restricted range of motion and potential functional impairment. Such contractures can significantly impact mobility and activities of daily living, necessitating comprehensive assessment and management strategies to address the underlying causes and alleviate associated symptoms.",2,"contractures of the elbows, achilles tendons, and postcervical muscles;
abnormal shortening and tightening of the muscles"
"During the oncology clinic visit, the patient's diagnostic imaging results revealed the presence of colorectal cancer. Further evaluation indicated that the cancer was classified as either stage II or stage III colorectal cancer based on the extent of tumor invasion and lymph node involvement. This staging information is crucial for treatment planning and determining the appropriate course of action, which may include surgical resection, chemotherapy, and/or radiation therapy","During the oncology clinic visit, the patient's diagnostic imaging results revealed the presence of colorectal cancer. Further evaluation indicated that the cancer was classified as either stage II colorectal cancer, stage III colorectal cancer based on the extent of tumor invasion and lymph node involvement. This staging information is crucial for treatment planning and determining the appropriate course of action, which may include surgical resection, chemotherapy, and/or radiation therapy",1,stage II or stage III colorectal cancer
"During the patient's recent abdominal ultrasound examination, radiological findings revealed the presence of pancreatic abnormalities. Specifically, the imaging showed the presence of pancreatic cysts and tumors. Further characterization of these lesions is necessary to determine their nature and potential implications. The patient's medical team is considering additional diagnostic tests, such as MRI or CT scans, to obtain more detailed information about the size, location, and characteristics of the pancreatic cysts and tumors.","During the patient's recent abdominal ultrasound examination, radiological findings revealed the presence of pancreatic abnormalities. Specifically, the imaging showed the presence of pancreatic cysts, pancreatic tumors. Further characterization of these lesions is necessary to determine their nature and potential implications. The patient's medical team is considering additional diagnostic tests, such as MRI or CT scans, to obtain more detailed information about the size, location, and characteristics of the pancreatic cysts and pancreatic tumors.",2,"pancreatic cysts and tumors;
pancreatic cysts and tumors."
"The patient, a 45-year-old male, presented to the neurology clinic with a history of chronic headaches and progressive visual disturbances. Upon further evaluation, imaging studies revealed the presence of multiple lesions consistent with retinal, cerebellar and spinal haemangioblastomas. These findings raised concerns for von Hippel-Lindau (VHL) disease, a hereditary condition associated with the development of tumours in multiple organs, including the brain, retina, and spinal cord tumours. The patient's medical team is coordinating with specialists in neurosurgery and ophthalmology to develop a comprehensive management plan","The patient, a 45-year-old male, presented to the neurology clinic with a history of chronic headaches and progressive visual disturbances. Upon further evaluation, imaging studies revealed the presence of multiple lesions consistent with retinal haemangioblastomas, cerebellar haemangioblastomas, spinal haemangioblastomas. These findings raised concerns for von Hippel-Lindau (VHL) disease, a hereditary condition associated with the development of tumours in multiple organs, including the brain tumours, retina tumours, and spinal cord tumours. The patient's medical team is coordinating with specialists in neurosurgery and ophthalmology to develop a comprehensive management plan",2,"retinal, cerebellar and spinal haemangioblastomas; 
brain, retina, and spinal cord tumours"
"The patient, a 30-year-old female, presented to the plastic surgery clinic with concerns regarding facial asymmetry and deformity. Upon examination, it was noted that she had an aquired deformity of the right ala / nose and medial cheek. The deformity appeared to be the result of trauma sustained several years ago, leading to soft tissue scarring and contracture. The patient reported experiencing problem with nasal breathing/running and dissatisfaction with her facial appearance","The patient, a 30-year-old female, presented to the plastic surgery clinic with concerns regarding facial asymmetry and deformity. Upon examination, it was noted that she had an aquired deformity of right ala / nose, aquired deformity of medial cheek. The deformity appeared to be the result of trauma sustained several years ago, leading to soft tissue scarring and soft tissue contracture. The patient reported experiencing problem with nasal breathing / problem with nasal running and dissatisfaction with her facial appearance",3,"deformity of the right ala / nose and medial cheek;
soft tissue scarring and contracture;
problem with nasal breathing/running"
"The patient, a 35-year-old woman, presented to the gynecology clinic with complaints of abnormal uterine bleeding and pelvic discomfort. After a thorough medical history review and initial examination, it was determined that the patient may benefit from a diagnostic procedure known as cervix dilatation and curettage. This procedure involves dilating the cervix and gently scraping the uterine lining to obtain tissue samples for further analysis. In this case, the D&C procedure is recommended to investigate the underlying cause of the patient's symptoms","The patient, a 35-year-old woman, presented to the gynecology clinic with complaints of abnormal uterine bleeding and pelvic discomfort. After a thorough medical history review and initial examination, it was determined that the patient may benefit from a diagnostic procedure known as cervix dilatation and cervix curettage. This procedure involves dilating the cervix and gently scraping the uterine lining to obtain tissue samples for further analysis. In this case, the D&C procedure is recommended to investigate the underlying cause of the patient's symptoms",1,cervix dilatation and curettage
"A 65-year-old male patient was admitted to the cardiology department with complaints of intermittent chest pain and shortness of breath on exertion. Upon reviewing the patient's medical history, it was noted that he had a long-standing history of hypertension, hyperlipidemia, and smoking. Given the symptoms and medical history, further investigation was warranted to assess the status of his cardiovascular health. Imaging studies, including computed tomography angiography (CTA), were performed to evaluate the integrity of the arterial system. The CTA revealed heavy calcification of the aorta and sma and branches, indicative of significant atherosclerotic disease burden.","A 65-year-old male patient was admitted to the cardiology department with complaints of intermittent chest pain and shortness of breath on exertion. Upon reviewing the patient's medical history, it was noted that he had a long-standing history of hypertension, hyperlipidemia, and smoking. Given the symptoms and medical history, further investigation was warranted to assess the status of his cardiovascular health. Imaging studies, including computed tomography angiography (CTA), were performed to evaluate the integrity of the arterial system. The CTA revealed heavy calcification of aorta, heavy calcification of sma, heavy calcification of branches, indicative of significant atherosclerotic disease burden.",1,heavy calcification of the aorta and sma and branches
